 type   sat      day     hms     lat     lon     pre   spd   dir   rff    qi  int
IR     MTSAT   20131107  0513   23.90  -125.92   868    6.8   58  76.19  0.80  15
IR     MTSAT   20131107  0513   23.80  -126.72   850    5.1   56  78.22  0.97  15
IR     MTSAT   20131107  0513   23.96  -127.08   868    5.4   39  81.08  0.80  15
IR     MTSAT   20131107  0513   23.47  -119.62   212   30.3  260  66.19  0.99  15
IR     MTSAT   20131107  0513   23.68  -124.18   150   31.8  269  60.37  0.97  15
IR     MTSAT   20131107  0513   23.73  -125.94   868    6.1   61  76.64  0.89  15
IR     MTSAT   20131107  0513   23.56  -126.17   868    6.6   55  85.94  0.96  15
IR     MTSAT   20131107  0513   23.63  -126.66   887    5.7   50  78.06  0.99  15
IR     MTSAT   20131107  0513   23.23  -127.98   887    4.7   62  69.09  0.63  15
IR     MTSAT   20131107  0513   23.33  -133.36   906    5.9   53  83.42  0.96  15
IR     MTSAT   20131107  0513   23.45  -133.51   906    5.7   60  79.17  0.96  15
IR     MTSAT   20131107  0513   23.59  -136.19   906    4.5  101  74.79  0.97  15
IR     MTSAT   20131107  0513   23.42  -142.19   906    4.4   80  75.03  0.55  15
IR     MTSAT   20131107  0513   22.98  -119.27   287   27.2  262  77.52  0.98  15
IR     MTSAT   20131107  0513   23.00  -123.31   831    9.0   53  79.54  0.87  15
IR     MTSAT   20131107  0513   22.68  -124.45   868    7.7   55  67.45  0.81  15
IR     MTSAT   20131107  0513   22.90  -125.67   868    7.4   58  76.27  0.97  15
IR     MTSAT   20131107  0513   22.85  -126.38   887    6.6   53  70.35  1.00  15
IR     MTSAT   20131107  0513   23.01  -126.57   906    6.3   48  68.36  0.99  15
IR     MTSAT   20131107  0513   22.86  -127.86   887    5.4   67  65.52  0.73  15
IR     MTSAT   20131107  0513   22.63  -132.84   906    6.6   59  82.50  0.93  15
IR     MTSAT   20131107  0513   22.59  -133.32   906    6.2   62  77.99  0.94  15
IR     MTSAT   20131107  0513   22.75  -133.83   887    6.1   85  71.02  0.73  15
IR     MTSAT   20131107  0513   22.90  -135.66   887    4.0  109  67.05  0.85  15
IR     MTSAT   20131107  0513   22.64  -141.00   906    6.1   95  85.58  0.92  15
IR     MTSAT   20131107  0513   22.68  -141.23   906    6.2   96  84.04  0.93  15
IR     MTSAT   20131107  0513   22.72  -116.71   162   27.1  266  72.95  0.94  15
IR     MTSAT   20131107  0513   22.65  -117.57   212   31.3  266  60.90  0.98  15
IR     MTSAT   20131107  0513   22.65  -118.98   250   24.7  266  66.54  0.80  15
IR     MTSAT   20131107  0513   22.30  -119.66   850    6.1  109  51.56  0.59  15
IR     MTSAT   20131107  0513   22.59  -121.16   718   11.1   35  68.89  0.57  15
IR     MTSAT   20131107  0513   22.19  -122.42   868    9.5   55  72.43  0.94  15
IR     MTSAT   20131107  0513   22.03  -124.08   850    9.2   68  69.56  0.92  15
IR     MTSAT   20131107  0513   22.37  -125.61   868    9.2   60  84.93  0.97  15
IR     MTSAT   20131107  0513   22.44  -126.22   850    8.7   65  83.34  0.98  15
IR     MTSAT   20131107  0513   22.26  -127.14   887   12.5   55  60.58  0.55  15
IR     MTSAT   20131107  0513   22.04  -127.90   150   16.1  270  76.97  1.00  15
IR     MTSAT   20131107  0513   22.04  -127.94   162   16.2  270  76.31  1.00  15
IR     MTSAT   20131107  0513   22.14  -129.31   906   10.6   69  70.37  0.98  15
IR     MTSAT   20131107  0513   22.13  -129.99   850    6.5   78  70.69  0.86  15
IR     MTSAT   20131107  0513   22.05  -130.12   850    6.7   81  69.33  0.91  15
IR     MTSAT   20131107  0513   22.33  -130.62   868    4.4   90  57.06  0.78  15
IR     MTSAT   20131107  0513   22.35  -142.53   887    6.7  118  67.01  0.85  15
IR     MTSAT   20131107  0513   22.07  -142.76   887    7.2  125  60.76  0.94  15
IR     MTSAT   20131107  0513   22.04  -116.00   812    7.8   88  68.88  0.86  15
IR     MTSAT   20131107  0513   21.63  -118.82   831   11.6   74  72.53  0.97  15
IR     MTSAT   20131107  0513   21.66  -119.30   812   11.2   71  70.63  0.97  15
IR     MTSAT   20131107  0513   21.94  -120.93   812   13.2   49  61.72  0.57  15
IR     MTSAT   20131107  0513   21.93  -121.31   850   12.8   50  69.58  0.81  15
IR     MTSAT   20131107  0513   21.70  -124.16   887    9.3   55  69.92  0.90  15
IR     MTSAT   20131107  0513   21.44  -124.94   868   10.9   62  83.11  0.93  15
IR     MTSAT   20131107  0513   21.59  -125.58   850    9.5   67  74.70  0.97  15
IR     MTSAT   20131107  0513   21.49  -126.66   756   10.0   75  78.82  0.58  15
IR     MTSAT   20131107  0513   21.60  -127.42   175   13.2  278  61.43  0.95  15
IR     MTSAT   20131107  0513   21.69  -129.27   887   10.8   64  84.55  0.83  15
IR     MTSAT   20131107  0513   21.81  -129.58   812    6.0   93  61.71  0.88  15
IR     MTSAT   20131107  0513   21.76  -130.10   831    7.6   79  77.69  0.96  15
IR     MTSAT   20131107  0513   21.37  -138.99   887    8.3  116  70.45  0.58  15
IR     MTSAT   20131107  0513   21.22  -115.85   812   10.1   90  70.88  0.61  15
IR     MTSAT   20131107  0513   21.04  -116.47   162   15.9  274  60.04  0.96  15
IR     MTSAT   20131107  0513   21.23  -118.28   850   11.7   70  80.28  0.98  15
IR     MTSAT   20131107  0513   21.26  -118.67   831   11.6   70  72.87  0.98  15
IR     MTSAT   20131107  0513   21.37  -119.08   831   11.6   72  79.78  1.00  15
IR     MTSAT   20131107  0513   21.31  -119.96   868   12.0   70  74.23  0.96  15
IR     MTSAT   20131107  0513   21.29  -120.90   887   14.9   62  68.31  0.97  15
IR     MTSAT   20131107  0513   21.28  -121.16   887   13.3   64  73.25  0.75  15
IR     MTSAT   20131107  0513   20.98  -121.88   868   10.5   69  65.57  0.95  15
IR     MTSAT   20131107  0513   21.05  -122.50   868   10.0   55  69.54  0.91  15
IR     MTSAT   20131107  0513   21.28  -122.97   850    9.9   65  72.32  0.94  15
IR     MTSAT   20131107  0513   21.27  -123.64   906   11.0   51  79.68  0.94  15
IR     MTSAT   20131107  0513   20.88  -124.60   887   12.0   53  77.59  0.89  15
IR     MTSAT   20131107  0513   21.24  -124.84   868   12.1   60  77.16  0.78  15
IR     MTSAT   20131107  0513   20.89  -126.40   850   10.9   71  78.82  0.97  15
IR     MTSAT   20131107  0513   21.16  -126.94   868   10.1   75  68.13  0.72  15
IR     MTSAT   20131107  0513   20.90  -127.93   162   14.8  272  61.06  0.92  15
IR     MTSAT   20131107  0513   21.18  -128.31   162   14.8  279  60.84  0.99  15
IR     MTSAT   20131107  0513   21.25  -129.11   887   11.2   65  84.10  0.94  15
IR     MTSAT   20131107  0513   21.00  -129.37   887   11.6   66  85.66  0.98  15
IR     MTSAT   20131107  0513   20.79  -134.52   887    8.5   79  79.40  0.53  15
IR     MTSAT   20131107  0513   20.74  -136.71   831    6.8  125  62.83  0.95  15
IR     MTSAT   20131107  0513   20.89  -137.64   868    9.0  121  61.61  0.58  15
IR     MTSAT   20131107  0513   20.61  -137.99   400    7.0  114  76.25  0.60  15
IR     MTSAT   20131107  0513   20.81  -139.12   287   10.5  257  72.52  0.71  15
IR     MTSAT   20131107  0513   20.81  -139.15   300   10.5  257  74.77  0.74  15
IR     MTSAT   20131107  0513   20.73  -139.93   337    8.4  262  67.58  0.86  15
IR     MTSAT   20131107  0513   20.93  -140.98   887    9.8  106  72.67  0.63  15
IR     MTSAT   20131107  0513   21.09  -141.22   887    8.8  115  68.10  0.98  15
IR     MTSAT   20131107  0513   20.81  -141.80   906    7.2  103  70.86  0.90  15
IR     MTSAT   20131107  0513   21.14  -144.18   906    7.9   95  78.85  1.00  15
IR     MTSAT   20131107  0513   20.88  -116.19   187   15.1  272  63.42  0.97  15
IR     MTSAT   20131107  0513   20.73  -117.24   850   13.2   74  77.84  1.00  15
IR     MTSAT   20131107  0513   20.67  -117.99   850   13.2   71  84.37  0.98  15
IR     MTSAT   20131107  0513   20.54  -118.28   850   14.0   74  73.96  0.97  15
IR     MTSAT   20131107  0513   20.44  -118.94   831   14.1   72  85.55  0.99  15
IR     MTSAT   20131107  0513   20.49  -120.39   868   13.3   70  73.12  1.00  15
IR     MTSAT   20131107  0513   20.51  -121.06   906   11.5   62  68.09  0.95  15
IR     MTSAT   20131107  0513   20.69  -121.96   868   11.2   66  74.26  0.98  15
IR     MTSAT   20131107  0513   20.32  -122.39   906   12.4   58  85.87  0.99  15
IR     MTSAT   20131107  0513   20.67  -123.26   906   14.0   57  66.01  1.00  15
IR     MTSAT   20131107  0513   20.25  -125.81   906   10.0   53  68.00  0.70  15
IR     MTSAT   20131107  0513   20.61  -126.30   868   10.8   68  77.90  0.97  15
IR     MTSAT   20131107  0513   20.12  -133.49   831   12.9  128  51.67  0.74  15
IR     MTSAT   20131107  0513   20.49  -136.87   831    6.9  122  62.53  0.93  15
IR     MTSAT   20131107  0513   20.33  -137.06   887    6.5  122  54.47  0.72  15
IR     MTSAT   20131107  0513   20.45  -139.00   312   10.1  258  75.84  0.64  15
IR     MTSAT   20131107  0513   20.41  -139.58   312   12.0  251  64.63  0.98  15
IR     MTSAT   20131107  0513   20.57  -139.97   325   10.3  265  81.63  0.93  15
IR     MTSAT   20131107  0513   20.21  -140.47   325   11.4  268  67.83  0.98  15
IR     MTSAT   20131107  0513   20.29  -141.44   906    8.7  111  65.88  0.99  15
IR     MTSAT   20131107  0513   20.21  -142.37   868    8.2  100  73.37  0.98  15
IR     MTSAT   20131107  0513   20.09  -142.48   887    8.1  103  83.30  0.99  15
IR     MTSAT   20131107  0513   20.30  -143.58   906    8.0   93  81.96  1.00  15
